-- Start ../../PicrossHD/Puzzles/Puzzles Puzzle Pack/Puzzles.xml --
unique logical  	 MedievalC_Griddlers1_40348
unique logical  	 MedievalD01Robin Hood
unique logical  	 MedievalD02Merlin
unique logical  	 MedievalD03Weapon
unique logical  	 MedievalD04Queen
unique logical  	 MedievalD05Unicorn
unique logical  	 MedievalD06Princess
unique logical  	 MedievalD07Sword
unique logical  	 MedievalD08Princess
unique logical  	 MedievalD09Prince
unique logical  	 MedievalD10Shield
unique logical  	 MedievalD11King
unique logical  	 MedievalD_Griddlers1_20172
unique logical  	 MedievalD_Griddlers1_20232
unique logical  	 MedievalD_Griddlers1_30007
unique logical  	 MedievalD_Griddlers1_30025
unique logical  	 MedievalE01Dragon
unique logical  	 MedievalE02Joust
unique logical  	 MedievalE03Trumpet
unique logical  	 MedievalE04Fairy
unique logical  	 MedievalE05Crown
unique logical  	 MedievalE06Castle
unique logical  	 MedievalE07Turret
unique logical  	 MedievalE08Pegasus
-- end ../../PicrossHD/Puzzles/Medieval Puzzle Pack/Medieval.xml --
-- Start ../../PicrossHD/Puzzles/People Puzzle Pack/People.xml --
unique  	 PeopleA01Smile
trivial unique logical  	 PeopleA02Face
unique logical  	 PeopleB01Sad face
unique logical  	 PeopleB02Smiley
unique logical  	 PeopleB_Griddlers1_40306
unique logical  	 PeopleB_Griddlers_30040
unique logical  	 PeopleB_Griddlers_40387
unique logical  	 PeopleC01Karaoke
unique logical  	 PeopleC02Graduate
unique logical  	 PeopleD01Handstand
unique logical  	 PeopleD02Backpacking
unique  	 PeopleD03Soccer
unique logical  	 PeopleD04Mom
multiple  	 PeopleD05Golfer
unique logical  	 PeopleD06Beach
unique logical  	 PeopleD07Baby
unique logical  	 PeopleD08Cop
unique logical  	 PeopleD09Skateboard
unique logical  	 PeopleE01Falling
unique logical  	 PeopleE02Running
unique  	 PeopleE03Exercising
unique logical  	 PeopleE04Teeter toter
unique logical  	 PeopleE05Superman
unique logical  	 PeopleE06Man woman
unique logical  	 PeopleE07Swimming
multiple  	 PeopleE08Shoveling
unique logical  	 PeopleE09Tent
unique logical  	 PeopleE10Reading
unique logical  	 PeopleE11Biking
-- end ../../PicrossHD/Puzzles/People Puzzle Pack/People.xml --
-- Start ../../PicrossHD/Puzzles/Spring Puzzle Pack/Spring.xml --
unique logical  	 Spring4D_Griddlers_20154
unique logical  	 Spring4D_Griddlers_20157
trivial unique logical  	 SpringA014 leaf clover
unique logical  	 SpringA02Rain drop
trivial unique logical  	 SpringA03Tulip
unique logical  	 SpringB01Plant Buds
unique logical  	 SpringB02Easter egg
unique logical  	 SpringB03Bunny
multiple  	 SpringB04Planting
unique logical  	 SpringB_Griddlers1_40305
unique logical  	 SpringB_Griddlers1_40312
multiple  	 SpringD01Flower
multiple  	 SpringE01Pot of gold
unique logical  	 SpringE02Rain Boot
unique  	 SpringE03April showers
unique logical  	 SpringE04Hatch
unique logical  	 SpringE05Butterfly
unique logical  	 SpringE06Fat bunny
unique logical  	 SpringE07Budding tree
unique logical  	 SpringE08Watering can
-- end ../../PicrossHD/Puzzles/Spring Puzzle Pack/Spring.xml --
-- Start ../../PicrossHD/Puzzles/Valentines Puzzle Pack/Valentines.xml --
trivial unique logical  	 ValentinesA01Valentine
trivial unique logical  	 ValentinesA02Hershey Kiss
trivial unique logical  	 ValentinesA03Lips
unique logical  	 ValentinesB01Candy box
unique logical  	 ValentinesB02Diamond
unique logical  	 ValentinesB03Flower
unique logical  	 ValentinesB04Teddy bear
unique logical  	 ValentinesB05Daisy
unique logical  	 ValentinesB06Heartbroken
unique logical  	 ValentinesB_Griddlers1_40307
unique logical  	 ValentinesB_Griddlers1_40337
unique  	 ValentinesC01BowAndArrow
unique logical  	 ValentinesC_Griddlers_30041
unique logical  	 ValentinesC_Griddlers_30043
unique logical  	 ValentinesC_Griddlers_30054
unique logical  	 ValentinesD01Ring
unique logical  	 ValentinesD_Griddlers_20164
unique logical  	 ValentinesE01Cupid
unique logical  	 ValentinesE01True love
unique logical  	 ValentinesE02Heartshot
unique logical  	 ValentinesE02Stuffed animal
unique logical  	 ValentinesE03Heart doily
unique logical  	 ValentinesE03Valentine candy
unique logical  	 ValentinesE04First date
unique logical  	 ValentinesE04Lovestruck
multiple  	 ValentinesE05Teddy bear
-- end ../../PicrossHD/Puzzles/Valentines Puzzle Pack/Valentines.xml --
-- Start ../../PicrossHD/Puzzles/WizardOfOz Puzzle Pack/Wizard of Oz.xml --
unique logical  	 Wizard of OzA01House
trivial unique logical  	 Wizard of OzA02Water Pail
unique logical  	 Wizard of OzA03Twister
multiple  	 Wizard of OzA04Broom
unique logical  	 Wizard of OzA05Witchs hat
unique logical  	 Wizard of OzA06Toto
multiple  	 Wizard of OzD01Witch
unique logical  	 Wizard of OzD02House
unique logical  	 Wizard of OzD03Tinman
unique logical  	 Wizard of OzD04Wizard
unique logical  	 Wizard of OzD05Toto
unique logical  	 Wizard of OzD06Scarecrow
unique logical  	 Wizard of OzE01YBR
unique  	 Wizard of OzE02Dorthy
unique logical  	 Wizard of OzE03Flying witch
unique logical  	 Wizard of OzE04Flying Monkey
multiple  	 Wizard of OzE05Lion
-- end ../../PicrossHD/Puzzles/WizardOfOz Puzzle Pack/Wizard of Oz.xml --
